X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
-73.95613449,40.79408239,37F-PM-1014-03,37F,PM,10142018,3,,,,+,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9561344937861 40.7940823884086)
-73.96885747,40.78378252,21B-AM-1019-04,21B,AM,10192018,4,,,,+,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9688574691102 40.7837825208444)
-73.97428115,40.77553362,11B-PM-1014-08,11B,PM,10142018,8,,Gray,,Gray+,,Above Ground,10,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.97428114848522 40.775533619083)
-73.95964139,40.79031289,32E-PM-1017-14,32E,PM,10172018,14,Adult,Gray,,Gray+,Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.,,,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9596413903948 40.7903128889029)
-73.97026765,40.77621269,13E-AM-1017-05,13E,AM,10172018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,,on tree stump,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9702676472613 40.7762126854894)
-73.96836135,40.77259088,11H-AM-1010-03,11H,AM,10102018,3,Adult,Cinnamon,White,Cinnamon+White,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9683613516225 40.7725908847499)
-73.95412018,40.79318117,36H-AM-1010-02,36H,AM,10102018,2,Adult,Gray,,Gray+,just outside hectare,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9541201789795 40.7931811701082)
-73.95826943,40.79173678,33F-AM-1008-02,33F,AM,10082018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9582694312289 40.7917367820255)
-73.9674286,40.78297239,21C-PM-1006-01,21C,PM,10062018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,POINT (-73.9674285955293 40.7829723919744)
-73.97225002,40.77428796,11D-AM-1010-03,11D,AM,10102018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,30,,FALSE,FALSE,TRUE,FALSE,FALSE,grooming,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9722500196844 40.7742879599026)
-73.96950635,40.78235077,20B-PM-1013-05,20B,PM,10132018,5,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9695063535333 40.7823507678183)
-73.96400328,40.78203098,22F-PM-1014-06,22F,PM,10142018,6,Adult,Gray,,Gray+,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9640032826529 40.7820309825448)
-73.95321705,40.79196697,36I-PM-1007-01,36I,PM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9532170504865 40.7919669739962)
-73.97686036,40.77027959,5C-PM-1010-09,05C,PM,10102018,9,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9768603630674 40.7702795904962)
-73.97061059,40.76981248,7H-AM-1006-05,07H,AM,10062018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,10,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9706105896967 40.7698124821507)
-73.97037817,40.77875261,16C-PM-1018-03,16C,PM,10182018,3,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Above Ground,6,,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9703781726172 40.7787526130321)
-73.97039252,40.7765032,14E-AM-1008-23,14E,AM,10082018,23,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,walking,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9703925210471 40.7765032004992)
-73.96381794,40.79241733,32A-PM-1013-03,32A,PM,10132018,3,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9638179439747 40.7924173263904)
-73.9584071,40.79138125,33F-AM-1008-01,33F,AM,10082018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,moving slowly,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9584070974734 40.7913812490557)
-73.96711307,40.77848597,17F-AM-1007-07,17F,AM,10072018,7,Adult,Gray,White,Gray+White,,Above Ground,24,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9671130680114 40.7784859700171)
